"","Year","State","type","production","Avg","Measures","Materials","Chemical","Value"
"1",2019,"CALIFORNIA"," ",""," ",""," ","","35,400"
"2",2019,"CALIFORNIA"," ",""," ",""," ","","36,000"
"3",2019,"CALIFORNIA","MEASURED","$"," ",""," ","","2,221,320,000"
"4",2019,"CALIFORNIA","MEASURED","CWT"," ",""," ","","20,500,000"
"5",2019,"CALIFORNIA","MEASURED","CWT /"," ",""," ","","580"
"6",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","5,500"
"7",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","(NA)"
"8",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","(NA)"
"9",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","(NA)"
"10",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","(NA)"
"11",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","(NA)"
"12",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","1,200"
"13",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","300"
"14",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","6,200"
"15",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","(NA)"
"16",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","283,500"
"17",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","(D)"
"18",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","(D)"
"19",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","400"
"20",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","16,600"
"21",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","900"
"22",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","15,000"
"23",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","11,100"
"24",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","3,900"
"25",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","3,900"
"26",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","34,200"
"27",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","(D)"
"28",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","9,300"
"29",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","(D)"
"30",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","5,600"
"31",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","7,000"
"32",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","1,400"
"33",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","11,300"
"34",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","1,600"
"35",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","7,400"
"36",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","9,300"
"37",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","4,800"
"38",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","(NA)"
"39",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","686,000"
"40",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","600"
"41",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","3,300"
"42",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","90,900"
"43",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","1,233,500"
"44",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","(NA)"
"45",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","4,200"
"46",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","FUNGICIDE","7,200"
"47",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","HERBICIDE","200"
"48",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","HERBICIDE","1,100"
"49",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","HERBICIDE","(D)"
"50",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","HERBICIDE","(D)"
"51",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","HERBICIDE","(D)"
"52",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","HERBICIDE","(D)"
"53",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","HERBICIDE","1,300"
"54",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","HERBICIDE","(D)"
"55",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","HERBICIDE","5,500"
"56",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","HERBICIDE","(D)"
"57",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","HERBICIDE","10,200"
"58",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","500"
"59",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","5,400"
"60",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","2,800"
"61",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","800"
"62",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(NA)"
"63",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","17,900"
"64",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","7,300"
"65",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(NA)"
"66",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(NA)"
"67",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(NA)"
"68",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(NA)"
"69",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(D)"
"70",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(NA)"
"71",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(D)"
"72",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","1,900"
"73",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(D)"
"74",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(NA)"
"75",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","900"
"76",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","5,200"
"77",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","1,200"
"78",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(D)"
"79",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","6,000"
"80",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","400"
"81",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","3,300"
"82",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","4,800"
"83",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(NA)"
"84",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","2,300"
"85",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","3,500"
"86",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","56,700"
"87",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","3,300"
"88",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","12,700"
"89",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","1,100"
"90",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","51,600"
"91",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","4,600"
"92",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","1,200"
"93",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(D)"
"94",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","200"
"95",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(D)"
"96",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","100"
"97",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(D)"
"98",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","2,300"
"99",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","600"
"100",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","1,800"
"101",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","1,000"
"102",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","1,400"
"103",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","212,600"
"104",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","INSECTICIDE","(D)"
"105",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","(D)"
"106",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","(NA)"
"107",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","(NA)"
"108",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","(NA)"
"109",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","(D)"
"110",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","(D)"
"111",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","6,146,600"
"112",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","1,045,700"
"113",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","1,700"
"114",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","(D)"
"115",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","(D)"
"116",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","100"
"117",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","(D)"
"118",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","254,000"
"119",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","244,000"
"120",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","(D)"
"121",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","(D)"
"122",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","(D)"
"123",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","600"
"124",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","7,698,900"
"125",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","OTHER","(NA)"
"126",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","","668,000"
"127",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","","493,000"
"128",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","","430,000"
"129",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","","57,000"
"130",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","FUNGICIDE","0.205"
"131",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","FUNGICIDE","(NA)"
"132",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","FUNGICIDE","(NA)"
"133",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","FUNGICIDE","(NA)"
"134",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","FUNGICIDE","(NA)"
"135",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","FUNGICIDE","(NA)"
